PAIR,BULL_SAMPLES,BEAR_SAMPLES,BULL_AVG,BEAR_AVG,BULL_MEDIAN,BEAR_MEDIAN,BULL_MIN,BEAR_MIN,BULL_MAX,BEAR_MAX,BULL_STD,BEAR_STD,BULL_CV,BEAR_CV,OVERALL_SCORE
TAOUSDT,13,19,0.5747168364392042,0.5294745679676801,0.5928282244071669,0.5150917055793546,0.1055117318997176,0.005167424555611475,1.5389026954693168,1.5952288595810806,0.42618830947185127,0.3961617521509079,0.7415622484846677,0.7482167720945005,0.7448895102895841
TRXUSDT,13,17,0.11755670834199441,0.10373911524123529,0.10401052341766556,0.06175126590094417,0,0.003068425897517643,0.23388933341541157,0.2754654154684492,0.0715463800724442,0.09261065670573922,0.6086116316246489,0.8927264946339872,0.750669063129318
PENDLEUSDT,17,21,0.6513559175563733,0.8843197774361006,0.562394551021677,0.6298350106113422,0.17780035560070573,0.012588116817722683,1.6002000250031294,2.6612146400321803,0.45003032427506984,0.7170455251192795,0.6909130816887386,0.810844157752756,0.7508786197207473
TRUMPUSDT,18,17,0.6174367922910194,0.41178065107818984,0.6117678551597636,0.3160556257901323,0.06455777921238799,0.06337135614701456,1.1597938144329907,1.4964216005204887,0.3687967741136284,0.3726024080355553,0.5973028797736459,0.9048565226655215,0.7510797012195838
WIFUSDT,19,15,0.6441453534553675,0.5620833460633105,0.5221932114882475,0.4590163934426088,0.06451612903225096,0,2.1192052980132323,1.7532029669588616,0.4702210822762351,0.43471244966391853,0.7299921978072865,0.7733950004185937,0.7516935991129401
FETUSDT,16,22,0.4284411852820043,0.43977191565477275,0.34075184501845557,0.3106773403008448,0.06169031462059777,0,1.012017710309942,1.8459579885423207,0.23534552757538807,0.4215802604555919,0.5493064991417229,0.9586338859949811,0.753970192568352
BEATUSDT,17,21,1.3827043691520968,1.4491266450665694,1.155651859877213,1.1805026656511688,0.07770007770006915,0.18903591682419257,4.010397326401786,3.7581699346405264,0.9759424677792998,1.164293806477926,0.7058214970259826,0.8034451719190085,0.7546333344724956
MYXUSDT,20,18,1.2950544112059847,1.6165062233309753,0.9984025348312305,1.1490723119894262,0.29645600323408144,0.16969696969697118,3.6223506743738,4.844855743059327,0.9748253178589055,1.2269645619613014,0.7527292362574368,0.7590224796246168,0.7558758579410267
ARBUSDT,18,22,0.7563939713336643,0.8921016074313394,0.6996159453497222,0.8074321042357602,0.08669267446900383,0,1.7791615701100902,2.4073236889692664,0.46662287411782244,0.7998216605531746,0.616904538907256,0.8965589276944924,0.7567317333008743
SLXUSDT,12,27,1.037035240713397,1.2173542481455042,0.7621193989003227,0.935097868293854,0.2964426877470349,0.10687273923050908,3.091018066615294,3.4122074111869334,0.7888501454738344,0.9178789815324977,0.7606782436160693,0.7539949714150816,0.7573366075155754
PAXGUSDT,10,17,0.25424783204350054,0.09646948846875568,0.1911164159852221,0.07419704651088356,0.06461755567384542,0,0.46347738911852826,0.3741362290227012,0.1282768830082385,0.09758756862995326,0.5045348154091279,1.0115899874555643,0.758062401432346
